,country,area,city,confirm,suspect,dead,heal
247,中国,黑龙江,齐齐哈尔,1,0,0,0
248,中国,重庆,江北区,2,0,0,0
249,中国,重庆,大足区,1,0,0,0
250,中国,重庆,铜梁区,1,0,0,0
251,中国,广东,揭阳,3,0,0,0
252,中国,新疆,伊犁州,1,0,0,0
253,中国,甘肃,定西,1,0,0,0
254,中国,辽宁,丹东,1,0,0,0
255,中国,辽宁,盘锦,1,0,0,0
256,中国,四川,南充,2,0,0,0
257,中国,四川,甘孜,2,0,0,0
258,中国,四川,乐山,1,0,0,0
259,中国,四川,眉山,1,0,0,0
260,中国,海南,澄迈县,1,0,0,0
261,加拿大,,,1,0,0,0
262,法国,,,3,0,0,0
263,中国,陕西,汉中,1,0,0,0
